species	code	habitat
Aegiphila glomerata	1.6	Forest - Subtropical/Tropical Moist Lowland
Sorbus schuwerkiorum	1.4	Forest - Temperate
Sorbus schuwerkiorum	6	Rocky areas (eg. inland cliffs, mountain peaks)
Silene chustupica	6	Rocky areas (eg. inland cliffs, mountain peaks)
Dalea sabinalis	4.4	Grassland - Temperate
Dalea sabinalis	6	Rocky areas (eg. inland cliffs, mountain peaks)
Thorius spilogaster	1.4	Forest - Temperate
Eleutherodactylus orientalis	1.6	Forest - Subtropical/Tropical Moist Lowland
Orlitia borneensis	1.6	Forest - Subtropical/Tropical Moist Lowland
Orlitia borneensis	1.8	Forest - Subtropical/Tropical Swamp
Orlitia borneensis	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Orlitia borneensis	5.4	Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands
Orlitia borneensis	5.5	Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)
Xenoclarias eupogon	5.5	Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)
Oziothelphusa kodagoda	15.7	Artificial/Aquatic - Irrigated Land (includes irrigation channels)
Oziothelphusa kodagoda	15.9	Artificial/Aquatic - Canals and Drainage Channels, Ditches
Oziothelphusa kodagoda	1.6	Forest - Subtropical/Tropical Moist Lowland
Oziothelphusa kodagoda	1.8	Forest - Subtropical/Tropical Swamp
Oziothelphusa kodagoda	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Oziothelphusa kodagoda	5.4	Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands
Calligonum triste	8.2	Desert - Temperate
Shorea rotundifolia	1.6	Forest - Subtropical/Tropical Moist Lowland
Euphorbia tulearensis	6	Rocky areas (eg. inland cliffs, mountain peaks)
Monteverdia eggersii	18	Unknown
Drosera oreopodion	1.5	Forest - Subtropical/Tropical Dry
Drosera oreopodion	3.8	Shrubland - Mediterranean-type Shrubby Vegetation
Scriptaphyosemion cauveti	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
